# Picard curves over Q(zeta_3):  y^3 = f(x),  f(x) = x^4 + (a2+b2*w)*x^2 + (a1+b1*w)*x + (a0+b0*w),  w = e^(2*pi*i/3)
# Output format:  N(disc(f)):[a0,b0,a1,b1,a2,b2]  where  N(disc(f)) = disc_re^2 - disc_re*disc_im + disc_im^2
149097:[-1,-1,1,2,-2,-1]
169077:[-2,-2,1,-1,-1,-2]
603289:[0,-1,1,2,-2,-1]
369408:[0,-1,-2,0,-1,0]
307881:[0,0,1,2,-2,-1]
173056:[0,0,-2,0,-1,0]
548553:[-2,-1,2,1,-2,-2]
556933:[-1,-1,1,-1,-1,-2]
279561:[-1,-2,2,1,-2,-2]
605973:[-1,0,1,-1,-1,-2]
612957:[0,1,-2,1,-1,-1]
917253:[0,-1,1,-1,-1,-2]
965097:[-1,-1,2,1,-2,-2]
654493:[1,1,-2,1,-1,-1]
419769:[0,1,1,2,-2,-1]
456597:[0,0,1,-1,-1,-2]
26368:[0,1,-2,0,-1,0]
6421:[1,0,1,-1,-1,-2]
951069:[2,-1,-2,1,-1,-1]
926373:[1,1,1,-1,-1,-2]
965097:[0,0,2,1,-2,-2]
719104:[1,0,-2,0,-1,0]
816313:[1,-2,1,2,-2,-1]
617728:[-2,0,-2,2,-1,-1]
935941:[-1,-1,-2,1,-1,0]
520137:[1,-1,1,2,-2,-1]
211017:[-2,-2,1,0,-1,-2]
92937:[2,1,2,1,-2,-2]
319449:[1,0,1,2,-2,-1]
762112:[0,-2,2,2,-2,-2]
145969:[-1,-1,-1,-2,-1,-1]
340992:[-2,-1,-2,-2,-1,1]
613881:[-2,-1,1,0,-1,-2]
106729:[1,1,1,2,-2,-1]
107257:[-1,-1,1,0,-1,-2]
165249:[0,-1,-1,-2,-1,-1]
426981:[-1,0,-2,1,-1,0]
339777:[0,0,-1,-2,-1,-1]
706329:[2,1,1,2,-2,-1]
832933:[1,2,-2,1,-1,0]
369409:[0,1,-1,-2,-1,-1]
350976:[-1,0,-2,-2,-1,1]
16041:[-1,0,1,0,-1,-2]
873733:[2,-1,-2,1,-1,0]
838656:[0,-1,-2,-2,-1,1]
748497:[1,-1,-1,-2,-1,-1]
295029:[0,0,2,-1,-2,-1]
6912:[0,0,-2,-2,-1,1]
250513:[1,0,-1,-2,-1,-1]
613881:[0,-1,1,0,-1,-2]
638289:[1,1,-1,-2,-1,-1]
86697:[0,0,1,0,-1,-2]
867861:[0,1,2,-1,-2,-1]
75981:[-1,-1,-1,-1,-1,-1]
325888:[-1,0,2,0,-2,-1]
654937:[0,1,1,0,-1,-2]
652288:[0,1,-2,-2,-1,1]
342784:[0,-1,2,0,-2,-1]
397993:[1,0,1,0,-1,-2]
243181:[-1,0,-1,-1,-1,-1]
955648:[1,0,-2,-2,-1,1]
637:[0,-1,-1,-1,-1,-1]
641421:[-2,-1,-2,-1,-1,1]
28573:[0,0,-1,-1,-1,-1]
193536:[0,0,2,0,-2,-1]
156177:[-1,-1,-1,-2,-1,0]
919296:[0,1,2,0,-2,-1]
245181:[0,1,-1,-1,-1,-1]
60249:[1,1,1,0,-1,-2]
202129:[0,-1,-1,-2,-1,0]
730189:[-1,-1,-2,-1,-1,1]
131661:[1,0,-1,-1,-1,-1]
942069:[-2,-2,1,1,-1,-2]
397861:[-1,0,2,1,-2,-1]
65025:[0,0,-1,-2,-1,0]
50797:[1,1,-1,-1,-1,-1]
734949:[0,-2,2,1,-2,-1]
18801:[0,1,-1,-2,-1,0]
790657:[-1,-2,-1,0,-1,-1]
185221:[0,-1,2,1,-2,-1]
84357:[-2,-1,1,1,-1,-2]
99777:[-1,-1,-1,0,-1,-1]
103041:[1,0,-1,-2,-1,0]
281637:[0,0,2,1,-2,-1]
47181:[-1,0,-2,-1,-1,1]
517413:[1,0,2,1,-2,-1]
247221:[-1,-2,1,1,-1,-2]
9457:[1,1,-1,-2,-1,0]
993733:[1,1,2,1,-2,-1]
829773:[-1,1,-2,-1,-1,1]
33349:[-1,-1,1,1,-1,-2]
457849:[2,1,0,-1,-2,0]
877824:[0,0,2,2,-2,-1]
398037:[-1,0,1,1,-1,-2]
63973:[-1,-1,-1,-1,-1,0]
219141:[0,-1,1,1,-1,-2]
235029:[-1,0,-1,-1,-1,0]
110997:[0,0,1,1,-1,-2]
558336:[1,0,2,2,-2,-1]
340749:[0,-1,-2,-1,-1,1]
16129:[-1,0,-1,0,-1,-1]
45093:[0,-1,-1,-1,-1,0]
212992:[1,1,2,2,-2,-1]
124173:[0,0,-2,-1,-1,1]
183589:[0,1,1,1,-1,-2]
419341:[0,1,-2,-1,-1,1]
76561:[0,-1,-1,0,-1,-1]
853:[0,0,-1,-1,-1,0]
775117:[1,0,-2,-1,-1,1]
960853:[1,0,1,1,-1,-2]
351117:[2,1,-2,-1,-1,1]
17233:[0,0,-1,0,-1,-1]
574437:[1,1,1,1,-1,-2]
57600:[2,1,2,2,-2,-1]
127621:[0,1,-1,-1,-1,0]
